category,item,price_eur
SPRITZ,APEROL SPRITZ,15.00
SPRITZ,CAMPARI SPRITZ,15.00
SPRITZ,HUGO SPRITZ,15.00
SPRITZ,PASSION SPRITZ,15.00
CLASSIC COCKTAILS,AVIATION,15.00
CLASSIC COCKTAILS,CLOVER CLUB,15.00
CLASSIC COCKTAILS,KIR ROYAL,15.00
CLASSIC COCKTAILS,NEGRONI,15.00
CLASSIC COCKTAILS,AMERICANO,15.00
CLASSIC COCKTAILS,THE LONDON SOUR,15.00
CLASSIC COCKTAILS,MOSCOW MULE,15.00
CLASSIC COCKTAILS,PALOMA,15.00
CLASSIC COCKTAILS,DAIQUIRI,15.00
CLASSIC COCKTAILS,MAI TAI,15.00
CLASSIC COCKTAILS,MANHATTAN,15.00
CLASSIC COCKTAILS,BOULVARDIER,15.00
CLASSIC COCKTAILS,MARGARITA,15.00
CLASSIC COCKTAILS,PREMIUM COCKTAIL 17,17.00
CLASSIC COCKTAILS,PREMIUM COCKTAIL 20,20.00
CLASSIC COCKTAILS,PREMIUM COCKTAIL 15,15.00
MARTINI COLLECTION,CLASSIC MARTINI,17.00
MARTINI COLLECTION,DIRTY MARTINI,17.00
MARTINI COLLECTION,ESPRESSO MARTINI,17.00
MARTINI COLLECTION,GIBSON,17.00
MARTINI COLLECTION,LYCHEE MARTINI,17.00
MOVIES COCKTAIL,COSMOPOLITAN,17.00
MOVIES COCKTAIL,MINT JULEP,17.00
MOVIES COCKTAIL,TEQUILA SUNRISE,17.00
MOVIES COCKTAIL,VESPER MARTINI,17.00
SIGNATURE,ANTHEA 75,20.00
SIGNATURE,FIRST CLASS MANHATTAN,20.00
SIGNATURE,THE MAJESTIC OLD FASHION,20.00
NON ALCOHOLIC SIGNATURE,ANTHEA DAUGHETER,12.00
NON ALCOHOLIC SIGNATURE,MYSTICAL CRANBERRY,12.00
NON ALCOHOLIC SIGNATURE,PALOMA ZERO,12.00
NON ALCOHOLIC SIGNATURE,RUBY BLOSSOM,12.00
GIN COLLECTION,GIN TONIC BOMBAY SAPPHIRE,15.00
GIN COLLECTION,TANQUERAY,15.00
GIN COLLECTION,MONKEY 47 TONIC,16.00
GIN COLLECTION,NO 3 LONDON TONIC,16.00
GIN COLLECTION,ROKU TONIC,16.00
GIN COLLECTION,THE BOTANIST TONIC,16.00
GIN COLLECTION,HENDRICKS TONIC,16.00
GIN COLLECTION,IL PROFESSORE TONIC,18.00
GIN COLLECTION,KI NO BI TONC,18.00
