categoria;prodotto;giacenza;unita;minimo
Aperitivi / Vermouth;Antica Formula Vermouth;6;bottiglie;1
Aperitivi / Vermouth;Aperol;6;bottiglie;3
Aperitivi / Vermouth;Campari;6;bottiglie;3
Aperitivi / Vermouth;Cinzano;2;bottiglie;1
Aperitivi / Vermouth;Punt e Mes;2;bottiglie;1
Aperitivi / Vermouth;Select;3;bottiglie;1
Aperitivi / Vermouth;Venturo;1;bottiglia;1
Bevande analcoliche;ACE / Yoga ACE;31;unità;12
Bevande analcoliche;Acqua bottiglia;4;unità;6
Bevande analcoliche;Ananas;7;unità;6
Bevande analcoliche;Coca-Cola;68;unità;36
Bevande analcoliche;Coca-Cola Zero;85;unità;36
Bevande analcoliche;Coca-Cola Zero Zero;12;unità;6
Bevande analcoliche;Fanta;35;unità;12
Bevande analcoliche;Fever blu;33;unità;12
Bevande analcoliche;Fever gialla;25;unità;12
Bevande analcoliche;Ginger Beer;13;unità;6
Bevande analcoliche;Schweppes;28;unità;12
Bevande analcoliche;Soda bottiglia;7;unità;6
Bevande analcoliche;Sprite;23;unità;12
Bevande analcoliche;Succo di pomodoro;10;unità;6
Bevande analcoliche;Tè limone;18;unità;6
Bevande analcoliche;Tè pesca;11;unità;6
Bevande analcoliche;Yoga Mango;24;unità;12
Birra;Birra 0;15;bottiglie;6
Birra;Birra Gluten Free;38;bottiglie;12
Brandy / Cognac;Armagnac;1;bottiglia;1
Brandy / Cognac;Hennessy;1;bottiglia;1
Distillati;Cachaça;1;bottiglia;1
Gin;Gin del Professore;1;bottiglia;1
Gin;Gordon's Gin;2;bottiglie;1
Gin;Hendrick's;2;bottiglie;1
Gin;KI NO BI;1;bottiglia;1
Gin;Monkey 47;1;bottiglia;1
Gin;Roku Gin;1;bottiglia;1
Gin;Tanqueray;3;bottiglie;2
Gin;The Botanist;1;bottiglia;1
Gin analcolico;Tanqueray 0.0;4;bottiglie;1
Liquori;Amaretto;1;bottiglia;1
Liquori;Cointreau Triple Sec;2;bottiglie;1
Liquori;Crème de Cassis;1;bottiglia;1
Liquori;Limoncello;2;bottiglie;1
Liquori;Liqueur de Grenadine;1;bottiglia;1
Liquori;Malibu;1;bottiglia;1
Liquori;Passoã;1;bottiglia;1
Liquori;St-Germain;4;bottiglie;1
Liquori;White Cacao;1;bottiglia;1
Mezcal;La Vida Mezcal;2;bottiglie;1
Rum;Captain Morgan Dark;1;bottiglia;1
Rum;Diplomático;1;bottiglia;1
Rum;Don Papa;1;bottiglia;1
Rum;Havana Club 3 Años;3;bottiglie;2
Rum;Havana Club 7 Years;2;bottiglie;1
Rum;Zacapa;2;bottiglie;1
Tequila;Don Julio;1;bottiglia;1
Tequila;Espolòn Tequila;4;bottiglie;2
Tequila;Patrón;1;bottiglia;1
Vini / Bollicine;Antoniazzi;275;bottiglie;2
Vini / Bollicine;Bellavista;5;bottiglie;1
Vini / Bollicine;Belle Epoque;2;bottiglie;1
Vini / Bollicine;Cervaro;3;bottiglie;2
Vini / Bollicine;Chardonnay;10;bottiglie;2
Vini / Bollicine;Drappier Carte d'Or;3;bottiglie;1
Vini / Bollicine;Drappier Rosé;2;bottiglie;1
Vini / Bollicine;Kerner;5;bottiglie;2
Vini / Bollicine;Pinot;5;bottiglie;2
Vini / Bollicine;Ruinart Rosé;3;bottiglie;1
Vini / Bollicine;Satèn Franciacorta;2;bottiglie;1
Vini / Bollicine;Trento DOC;3;bottiglie;1
Vini Rossi;Amarone;5;bottiglie;2
Vini Rossi;Barolo;7;bottiglie;2
Vini Rossi;Chianti;5;bottiglie;2
Vini Rossi;Nebbiolo;3;bottiglie;2
Vini Rossi;Ripasso;4;bottiglie;2
Vodka;Beluga;1;bottiglia;1
Vodka;Belvedere;1;bottiglia;1
Vodka;Eristoff Vodka;4;bottiglie;2
Vodka;Grey Goose;1;bottiglia;1
Vodka;Ketel One Vodka;1;bottiglia;1
Vodka;Tito's Vodka;2;bottiglie;1
Whisky;Black Label;1;bottiglia;1
Whisky;Bulleit Bourbon;1;bottiglia;1
Whisky;Bulleit Rye;1;bottiglia;1
Whisky;Chivas 18;1;bottiglia;1
Whisky;Lagavulin 16;1;bottiglia;1
Whisky;Macallan 12;1;bottiglia;1
Whisky;Oban 14;1;bottiglia;1
Whisky;Wild Turkey;2;bottiglie;1
